station_id,station_name_from_path,source_file,observed_hours,valid_ghi_hours,calendar_coverage_pct,ghi_uptime_pct,ghi_valid_when_observed_pct,station_latitude,station_longitude
57199,rostherne-no-2,cheshire\57199_rostherne-no-2\qc-version-1\midas-open_uk-radiation-obs_dv-202607_cheshire_57199_rostherne-no-2_qcv-1_2024.csv,8714,8714,99.20309653916212,99.20309653916212,100.0,53.36,-2.382
00583,wittering,cambridgeshire\00583_wittering\qc-version-1\midas-open_uk-radiation-obs_dv-202607_cambridgeshire_00583_wittering_qcv-1_2024.csv,8701,8701,99.05510018214936,99.05510018214936,100.0,52.612,-0.468
00456,monks-wood,cambridgeshire\00456_monks-wood\qc-version-1\midas-open_uk-radiation-obs_dv-202607_cambridgeshire_00456_monks-wood_qcv-1_2024.csv,8784,8784,100.0,100.0,100.0,52.402,-0.237
00268,charterhall,berwickshire\00268_charterhall\qc-version-1\midas-open_uk-radiation-obs_dv-202607_berwickshire_00268_charterhall_qcv-1_2024.csv,8690,8690,98.92987249544626,98.92987249544626,100.0,55.709,-2.385
00461,bedford,bedfordshire\00461_bedford\qc-version-1\midas-open_uk-radiation-obs_dv-202607_bedfordshire_00461_bedford_qcv-1_2024.csv,8784,8784,100.0,100.0,100.0,52.227,-0.465
00458,woburn,bedfordshire\00458_woburn\qc-version-1\midas-open_uk-radiation-obs_dv-202607_bedfordshire_00458_woburn_qcv-1_2024.csv,8784,8784,100.0,100.0,100.0,52.014,-0.596
01007,prestwick-gannet,ayrshire\01007_prestwick-gannet\qc-version-1\midas-open_uk-radiation-obs_dv-202607_ayrshire_01007_prestwick-gannet_qcv-1_2024.csv,8759,8759,99.71539162112933,99.71539162112933,100.0,55.515,-4.585
01005,auchincruive,ayrshire\01005_auchincruive\qc-version-1\midas-open_uk-radiation-obs_dv-202607_ayrshire_01005_auchincruive_qcv-1_2024.csv,8784,8784,100.0,100.0,100.0,55.477,-4.565
62122,almondsbury,avon\62122_almondsbury\qc-version-1\midas-open_uk-radiation-obs_dv-202607_avon_62122_almondsbury_qcv-1_2024.csv,8734,8734,99.43078324225866,99.43078324225866,100.0,51.551,-2.559
18974,tiree,argyll-in-strathclyde-region\18974_tiree\qc-version-1\midas-open_uk-radiation-obs_dv-202607_argyll-in-strathclyde-region_18974_tiree_qcv-1_2024.csv,8360,8360,95.17304189435337,95.17304189435337,100.0,56.5,-6.881
00918,dunstaffnage,argyll-in-strathclyde-region\00918_dunstaffnage\qc-version-1\midas-open_uk-radiation-obs_dv-202607_argyll-in-strathclyde-region_00918_dunstaffnage_qcv-1_2024.csv,8597,8597,97.87112932604735,97.87112932604735,100.0,56.45,-5.44
01467,ballypatrick-forest,antrim\01467_ballypatrick-forest\qc-version-1\midas-open_uk-radiation-obs_dv-202607_antrim_01467_ballypatrick-forest_qcv-1_2024.csv,8735,8735,99.44216757741349,99.44216757741349,100.0,55.181,-6.154
01450,aldergrove,antrim\01450_aldergrove\qc-version-1\midas-open_uk-radiation-obs_dv-202607_antrim_01450_aldergrove_qcv-1_2024.csv,8772,8772,99.86338797814207,99.86338797814207,100.0,54.664,-6.225
55827,braemar-no-2,aberdeenshire\55827_braemar-no-2\qc-version-1\midas-open_uk-radiation-obs_dv-202607_aberdeenshire_55827_braemar-no-2_qcv-1_2024.csv,8784,8784,100.0,100.0,100.0,57.011,-3.397
00161,dyce,aberdeenshire\00161_dyce\qc-version-1\midas-open_uk-radiation-obs_dv-202607_aberdeenshire_00161_dyce_qcv-1_2024.csv,8784,8784,100.0,100.0,100.0,57.205,-2.205
